ROW;BASIS;BITVALUE;DET?
130;X;1;Y
131;+;0;Y
132;+;1;Y
133;+;0;N
134;X;1;Y
135;X;1;Y
136;+;1;N
137;+;0;N
138;+;0;Y
139;X;1;Y
140;+;1;N
141;+;0;N
142;X;0;N
143;+;0;N
144;+;0;N
145;X;1;Y
146;X;1;N
147;+;0;N
148;X;0;N
149;+;1;Y
150;+;1;N
151;X;0;N
152;+;1;N
153;+;1;N
154;+;0;Y
155;X;1;Y
156;X;0;N
157;X;1;N
158;+;0;Y
159;+;1;N
160;+;1;N
161;+;0;N
162;X;0;N
163;+;0;N
164;+;1;N
165;X;1;N
166;X;0;N
167;X;1;N
168;+;1;N
169;X;1;Y
170;+;0;N
171;X;0;N
172;+;0;N
173;X;1;Y
174;X;0;N
175;+;1;Y
176;+;0;Y
177;+;0;N
178;X;0;Y
179;+;0;Y
180;X;0;N
181;+;1;N
182;+;0;N
183;X;0;N
184;+;0;N
185;+;0;N
186;+;0;N
187;X;0;N
188;X;0;N
189;+;1;Y
190;+;1;N
191;+;1;Y
192;+;1;N
193;X;0;N
194;X;1;Y
195;+;0;N
196;+;0;N
197;X;0;N
198;X;0;N
199;+;0;Y
200;X;1;N
201;X;0;Y
202;X;1;Y
203;+;0;Y
204;X;0;Y
205;X;1;N
206;X;1;Y
207;X;1;Y
208;X;0;Y
209;X;1;N
210;+;0;N
211;X;0;N
212;+;1;N
213;+;0;N
214;X;1;N
215;X;0;Y
216;+;0;N
217;+;0;N
218;+;0;Y
219;X;0;N
220;+;0;Y
221;X;0;N
222;X;1;Y
223;+;1;N
224;+;1;Y
225;+;1;N
226;X;0;N
227;+;0;Y
228;+;0;N
229;+;0;N
230;X;1;N
231;+;0;Y
232;X;1;N
233;+;0;Y
234;X;0;Y
235;+;0;N
236;+;0;Y
237;+;0;N
238;X;0;Y
239;X;1;N
240;X;0;Y
241;+;1;N
242;+;1;N
243;X;0;Y
244;+;0;Y
245;X;1;N
246;X;1;N
247;X;0;N
248;+;1;N
249;+;0;N
250;+;0;N
251;X;0;Y
252;X;0;N
253;+;1;N
254;+;0;N
255;X;1;Y
256;+;1;N
257;+;1;N
258;X;1;N
259;X;0;N
260;+;1;N
261;X;1;N
262;X;1;Y
263;X;0;N
264;X;1;N
265;+;0;N
266;X;1;N
267;X;0;N
268;X;0;N
269;+;0;N
270;+;1;N
271;+;1;Y
272;+;1;Y
273;+;1;N
274;X;1;N
275;X;1;N
276;X;1;Y
277;+;0;Y
278;+;1;Y
279;+;0;N
280;X;1;N
281;+;0;Y
282;X;1;N
283;X;0;Y
284;+;1;N
285;X;0;N
286;X;0;Y
287;+;0;N
288;X;0;N
289;X;1;N
290;X;0;Y
291;X;0;N
292;+;1;N
293;+;0;N
294;X;1;N
295;X;0;Y
296;X;1;N
297;X;0;N
298;X;1;Y
299;X;1;Y
300;X;1;N
301;+;1;Y
302;+;0;Y
303;X;0;Y
304;+;1;N
305;X;1;Y
306;X;0;Y
307;X;1;N
308;X;1;N
309;X;0;N
310;+;1;N
311;X;1;Y
312;X;0;N
313;+;1;N
314;X;0;Y
315;X;1;N
316;+;0;N
317;X;1;N
318;X;1;Y
319;X;0;N
320;+;0;N
321;+;1;Y
322;X;0;Y
323;X;0;N
324;X;1;Y
325;+;1;N
326;+;1;N
327;X;1;N
328;+;1;Y
329;X;0;Y
330;+;0;Y
331;+;1;Y
332;+;1;N
333;+;1;N
334;X;1;N
335;+;1;Y
336;+;1;N
337;+;0;Y
338;+;0;N
339;+;0;N
340;+;1;Y
341;X;0;N
342;X;0;N
343;+;0;N
344;+;0;N
345;+;1;N
346;X;1;Y
347;X;1;Y
348;+;1;N
349;X;0;N
350;X;1;Y
351;X;1;N
352;X;0;Y
353;X;0;N
354;X;0;Y
355;X;0;N
356;+;1;N
357;X;1;Y
358;X;0;Y
359;X;1;Y
360;X;1;Y
361;+;0;N
362;+;0;N
363;+;1;Y
364;+;0;N
365;X;0;N
366;X;0;N
367;+;0;N
368;+;1;N
369;X;1;N
370;+;1;N
371;X;0;Y
372;+;1;N
373;X;0;N
374;X;0;N
375;X;1;Y
376;X;1;N
377;+;0;N
378;X;1;N
379;X;1;Y
380;+;1;Y
381;X;1;N
382;X;0;Y
383;X;1;Y
384;+;0;N
385;X;0;N
386;X;0;N
387;+;0;Y
388;X;0;Y
389;X;0;N
390;+;0;Y
391;+;0;Y
392;+;1;N
393;+;1;N
394;+;0;N
395;X;1;N
396;X;0;N
397;X;0;Y
398;+;1;N
399;X;0;N
400;X;0;Y
401;X;0;N
402;X;1;N
403;+;1;Y
404;X;1;N
405;X;1;Y
406;X;0;N
407;+;0;N
408;+;1;N
409;+;0;N
410;+;1;Y
411;X;1;N
412;X;1;N
413;X;0;Y
414;X;0;N
415;X;0;N
416;X;1;N
417;X;1;Y
418;X;0;N
419;+;0;N
420;+;0;N
421;+;0;N
422;+;1;N
423;+;0;Y
424;+;1;N
425;X;0;N
426;+;0;N
427;X;0;N
428;+;1;N
429;+;1;Y
430;+;0;Y
431;X;0;N
432;X;0;Y
433;+;0;N
434;X;0;Y
435;+;1;Y
436;X;1;N
437;+;1;Y
438;X;0;N
439;+;1;N
440;+;0;N
441;+;1;Y
442;+;1;N
443;X;0;N
444;+;1;N
445;X;1;Y
446;X;1;Y
447;+;1;N
448;+;1;N
449;X;1;N
450;X;0;Y
451;X;0;N
452;X;1;N
453;X;0;N
454;+;0;N
455;X;1;Y
456;+;1;Y
457;X;1;Y
458;X;1;N
459;+;1;N
460;X;1;N
461;+;1;N
462;+;1;Y
463;+;0;N
464;+;0;N
465;+;0;N
466;+;0;N
467;X;0;Y
468;X;0;Y
469;X;1;N
470;+;1;N
471;+;1;Y
472;X;0;N
473;+;1;N
474;+;0;N
475;X;0;N
476;X;1;N
477;+;0;N
478;+;1;N
479;X;0;N
480;X;1;N
481;+;1;Y
482;X;0;Y
483;+;0;N
484;+;1;Y
485;+;0;N
486;+;1;Y
487;X;1;Y
488;+;1;Y
489;+;0;Y
490;X;1;Y
491;+;0;N
492;X;1;N
493;X;0;Y
494;+;1;N
495;X;0;Y
496;+;0;N
497;+;0;N
498;+;0;Y
499;+;0;N
500;X;1;N
